feature,n_missing,p01,p25,median,p75,p99,min,max,iqr_outliers,iqr_outlier_share
learners_count,0,0.0,1.0,8.0,32.0,805.0,0.0,1054.0,2313,0.14199766713733195
time_to_complete,5868,12.0,167.0,1838.0,25113.0,866705.0,4.0,866705.0,663,0.0636215334420881
section_position,0,1.0,1.0,3.0,6.0,28.0,1.0,52.0,837,0.05138436982012401
has_certificate,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,815,0.050033765117564
step_has_video,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,766,0.047025600098225796
description_len,0,0.0,395.0,800.0,1596.0,7410.0,0.0,18008.0,614,0.037694149425993
description_word_count,0,0.0,52.0,100.0,183.0,815.0,0.0,2153.0,596,0.03658910921480754
section_units_count,0,1.0,3.0,5.0,7.0,17.0,1.0,66.0,500,0.030695561421818406
unit_position_in_section,0,1.0,1.0,2.0,4.0,10.0,1.0,52.0,432,0.026520965068451103
step_position_in_lesson,0,1.0,2.0,4.0,7.0,16.0,1.0,33.0,362,0.022223586469396525
lessons_count,0,2.0,15.0,34.0,72.0,372.0,1.0,372.0,355,0.021793848609491066
lesson_steps_count,0,1.0,5.0,8.0,11.0,30.0,1.0,33.0,282,0.017312296641905582
lesson_title_word_count,0,1.0,3.0,4.0,6.0,11.0,1.0,12.0,193,0.011848486708821904
price_numeric,8030,100.0,1490.0,2990.0,9948.0,27900.0,100.0,250000.0,84,0.010170722847802398
is_public,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0
is_paid,0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0.0
authors_count,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
has_price_info,0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0.0
is_featured,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
is_archived,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
certificate_thresholds_count,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
instructors_count,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
tags_count,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
requirements_count,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
lesson_title_len,0,5.0,20.0,30.0,40.0,62.0,1.0,64.0,0,0.0
summary_len,0,72.0,194.0,303.0,395.0,512.0,50.0,517.0,0,0.0
title_len,0,9.0,26.0,40.0,56.0,64.0,5.0,64.0,0,0.0
title_word_count,0,1.0,3.0,5.0,8.0,14.0,1.0,14.0,0,0.0
created_year,0,2026.0,2026.0,2026.0,2026.0,2026.0,2026.0,2026.0,0,0.0
created_month,0,1.0,2.0,3.0,3.0,4.0,1.0,4.0,0,0.0
_parsed_page,0,23.0,216.0,276.0,411.0,591.0,3.0,598.0,0,0.0
target_log_learners_count,0,0.0,0.6931471805599453,2.19722457733622,3.49650756146648,6.692083742506628,0.0,6.961296045910167,0,0.0
