feature,min,p01,median,p99,max,iqr_outliers,iqr_outlier_share
learners_count,0.0,0.0,8.0,805.0,1054.0,2313,0.14199766713733195
lesson_id,216797.0,608691.0,2276412.0,2347415.0,2347995.0,1157,0.0710295291300878
time_to_complete,4.0,12.0,1838.0,866705.0,866705.0,663,0.0636215334420881
step_id,655790.0,4499068.56,9775082.0,10081079.12,10082980.0,966,0.05930382466695316
section_position,1.0,1.0,3.0,28.0,52.0,837,0.05138436982012401
has_certificate,0.0,0.0,0.0,1.0,1.0,815,0.050033765117564
step_has_video,0.0,0.0,0.0,1.0,1.0,766,0.047025600098225796
description_len,0.0,0.0,800.0,7410.0,18008.0,614,0.037694149425993
description_word_count,0.0,0.0,100.0,815.0,2153.0,596,0.03658910921480754
section_units_count,1.0,1.0,5.0,17.0,66.0,500,0.030695561421818406
unit_position_in_section,1.0,1.0,2.0,10.0,52.0,432,0.026520965068451103
step_position_in_lesson,1.0,1.0,4.0,16.0,33.0,362,0.022223586469396525
lessons_count,1.0,2.0,34.0,372.0,372.0,355,0.021793848609491066
lesson_steps_count,1.0,1.0,8.0,30.0,33.0,282,0.017312296641905582
lesson_title_word_count,1.0,1.0,4.0,11.0,12.0,193,0.011848486708821904
price_numeric,100.0,100.0,2990.0,27900.0,250000.0,84,0.010170722847802398
section_id,648042.0,649035.0,677655.0,695429.0,695793.0,114,0.0069985880041745965
unit_id,2209931.0,2217046.0,2316738.0,2382799.0,2383377.0,0,0.0
course_id,270821.0,271005.0,278754.0,284428.0,284860.0,0,0.0
is_public,1.0,1.0,1.0,1.0,1.0,0,0.0
target_log_learners_count,0.0,0.0,2.19722457733622,6.692083742506628,6.961296045910167,0,0.0
is_featured,0.0,0.0,0.0,0.0,0.0,0,0.0
is_archived,0.0,0.0,0.0,0.0,0.0,0,0.0
is_paid,0.0,0.0,1.0,1.0,1.0,0,0.0
has_price_info,0.0,0.0,1.0,1.0,1.0,0,0.0
tags_count,0.0,0.0,0.0,0.0,0.0,0,0.0
authors_count,0.0,0.0,0.0,0.0,0.0,0,0.0
instructors_count,0.0,0.0,0.0,0.0,0.0,0,0.0
requirements_count,0.0,0.0,0.0,0.0,0.0,0,0.0
summary_len,50.0,72.0,303.0,512.0,517.0,0,0.0
title_len,5.0,9.0,40.0,64.0,64.0,0,0.0
certificate_thresholds_count,0.0,0.0,0.0,0.0,0.0,0,0.0
lesson_title_len,1.0,5.0,30.0,62.0,64.0,0,0.0
title_word_count,1.0,1.0,5.0,14.0,14.0,0,0.0
created_year,2026.0,2026.0,2026.0,2026.0,2026.0,0,0.0
created_month,1.0,1.0,3.0,4.0,4.0,0,0.0
_parsed_page,3.0,23.0,276.0,591.0,598.0,0,0.0
