feature,corr_with_target_log
learners_count,0.6608765496990266
_parsed_page,0.2976453989872596
lesson_steps_count,0.2900997842620806
course_id,-0.28946971032689656
lessons_count,0.27741179757613166
unit_id,-0.25412071640384765
section_id,-0.25090669967380813
created_month,-0.20792286309424157
description_len,0.20704301473781286
description_word_count,0.19459496156391004
step_position_in_lesson,0.19128719644198602
price_numeric,0.18575450602183047
section_position,0.18418744794521663
time_to_complete,0.17683511573865948
lesson_id,-0.171879017671839
step_id,-0.16051351343110387
title_len,-0.1437916413652191
summary_len,-0.14243834475341186
title_word_count,-0.13620564996734763
has_certificate,0.11245071764899726
section_units_count,0.10568470924735683
unit_position_in_section,0.10163541854899721
is_paid,-0.06526302441740707
has_price_info,-0.06526302441740707
step_has_video,-0.058562873975265814
lesson_title_len,-0.052816380012387885
lesson_title_word_count,0.006808893498539606
reviews_count,
rating,
sections_count,
submissions_count,
videos_duration,
unit_progress_weight,
step_cost,
is_public,
is_archived,
is_featured,
authors_count,
instructors_count,
requirements_count,
tags_count,
certificate_thresholds_count,
created_year,
